id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso25022,justificacion
1210,1/2/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1509,1/2/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1786,1/2/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2017,1/2/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Admision,Quito,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
2020,1/2/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2209,1/2/2025,Facturacion,El sistema no permite anular una factura emitida por error,Paciente,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2416,1/2/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3137,1/2/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3262,1/2/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
3291,1/2/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
